,apiName,associatedTraits,composition,desc,effects,from,icon,id,incompatibleTraits,name,unique,icon_Lower
10,TFT6_Augment_ArcanistRunicShield2,['Set6_Arcanist'],[],,"{'ShieldDuration': 8.0, '{927ebb75}': 450.0}",,ASSETS/Maps/TFT/Icons/Augments/Hexcore/RunicShield2.png,,[],Runic Shield II,FALSE,assets/maps/tft/icons/augments/hexcore/runicshield2.png
11,TFT6_Augment_ArcanistRunicShield3,['Set6_Arcanist'],[],Arcanists start combat with a shield equal to @APShield@% of their Ability Power for @ShieldDuration@ seconds. Gain a Swain.,"{'ShieldDuration': 8.0, '{927ebb75}': 600.0}",,ASSETS/Maps/TFT/Icons/Augments/Hexcore/RunicShield3.png,,[],Runic Shield III,FALSE,assets/maps/tft/icons/augments/hexcore/runicshield3.png
12,TFT6_Augment_ArcanistRunicShield1,['Set6_Arcanist'],[],Arcanists start combat with a shield equal to @APShield@% of their Ability Power for @ShieldDuration@ seconds. Gain a Swain.,"{'ShieldDuration': 8.0, '{927ebb75}': 300.0}",,ASSETS/Maps/TFT/Icons/Augments/Hexcore/RunicShield1.png,,[],Runic Shield I,FALSE,assets/maps/tft/icons/augments/hexcore/runicshield1.png
13,TFT6_Augment_DebonairIrresistible,['Set6_Debonair'],[],Debonair champions take @DamageReduction@% less damage. Gain a Leona.,{'DamageReduction': 15.0},,ASSETS/Maps/TFT/Icons/Augments/Hexcore/Irresistible-Charm-II.png,,[],Irresistible Charm,FALSE,assets/maps/tft/icons/augments/hexcore/irresistible-charm-ii.png
14,TFT6_Augment_StrikerTrait,['Set6_Striker'],[],Your team counts as having 1 additional Striker. Gain a Rek'Sai.,{},,ASSETS/Maps/TFT/Icons/Augments/Hexcore/Striker-Heart.png,,[],Striker Heart,FALSE,assets/maps/tft/icons/augments/hexcore/striker-heart.png
15,TFT6_Augment_ProtectorTrait,['Set6_Protector'],[],Your team counts as having 1 additional Protector. Gain a Blitzcrank.,{},,ASSETS/Maps/TFT/Icons/Augments/Hexcore/ProtectorHeart1.png,,[],Protector Heart,FALSE,assets/maps/tft/icons/augments/hexcore/protectorheart1.png
16,TFT6_Augment_DebonairTrait,['Set6_Debonair'],[],Your team counts as having 1 additional Debonair. Gain a Talon.,{},,ASSETS/Maps/TFT/Icons/Augments/Hexcore/Debonair-Heart.png,,[],Debonair Heart,FALSE,assets/maps/tft/icons/augments/hexcore/debonair-heart.png
17,TFT6_Augment_AtOdds1,[],[],"Your 1, 3, and 5-cost units gain @Stats@ Attack Damage and Ability Power.",{'{6a311cec}': 20.0},,ASSETS/Maps/TFT/Icons/Augments/Hexcore/Missing-T1.png,,[],At Odds I,FALSE,assets/maps/tft/icons/augments/hexcore/missing-t1.png
18,TFT6_Augment_AtOdds2,[],[],"Your 1, 3, and 5-cost units gain @Stats@ Attack Damage and Ability Power.",{'{6a311cec}': 30.0},,ASSETS/Maps/TFT/Icons/Augments/Hexcore/Missing-T2.png,,[],At Odds II,FALSE,assets/maps/tft/icons/augments/hexcore/missing-t2.png
19,TFT6_Augment_AtOdds3,[],[],"Your 1, 3, and 5-cost units gain @Stats@ Attack Damage and Ability Power.",{'{6a311cec}': 40.0},,ASSETS/Maps/TFT/Icons/Augments/Hexcore/Missing-T3.png,,[],At Odds II,FALSE,assets/maps/tft/icons/augments/hexcore/missing-t3.png
20,TFT6_Augment_Diversify1,[],[],Your units gain @AD*100@% Attack Damage and @AP@ Ability Power per Trait active across your army.,"{'AD': 0.014999999664723873, 'AP': 1.5}",,ASSETS/Maps/TFT/Icons/Augments/Hexcore/StandUnited1.png,,[],Stand United I,FALSE,assets/maps/tft/icons/augments/hexcore/standunited1.png
21,TFT6_Augment_AcademyTrait2,['Set6_Academy'],[],Your team counts as having 2 additional Academics.,{},,ASSETS/Maps/TFT/Icons/Augments/Hexcore/AcademySoul3.png,,[],Academy Soul,FALSE,assets/maps/tft/icons/augments/hexcore/academysoul3.png
22,TFT6_Augment_Diversify2,[],[],Your units gain @AD*100@% Attack Damage and @AP@ Ability Power per Trait active across your army.,"{'AD': 0.02500000037252903, 'AP': 2.5}",,ASSETS/Maps/TFT/Icons/Augments/Hexcore/StandUnited2.png,,[],Stand United II,FALSE,assets/maps/tft/icons/augments/hexcore/standunited2.png
23,TFT6_Augment_EnforcerSwiftJustice,['Set6_Enforcer'],[],Your Enforcers deal true damage to enemies below @HealthThreshold@% Health. Gain a Sejuani.,{'HealthThreshold': 80.0},,ASSETS/Maps/TFT/Icons/Augments/Hexcore/Swift-Justice-I.png,,[],True Justice,FALSE,assets/maps/tft/icons/augments/hexcore/swift-justice-i.png
24,TFT6_Augment_Diversify3,[],[],Your units gain @AD*100@% Attack Damage and @AP@ Ability Power per Trait active across your army.,"{'AD': 0.03500000014901161, 'AP': 3.5}",,ASSETS/Maps/TFT/Icons/Augments/Hexcore/StandUnited3.png,,[],Stand United III,FALSE,assets/maps/tft/icons/augments/hexcore/standunited3.png
25,TFT6_Augment_Distancing3,[],[],Your units that start combat with no adjacent allies gain a @MaxHealthShield@% maximum Health shield for @ShieldDuration@ seconds.,"{'ShieldDuration': 10.0, '{4e39b1d2}': 50.0}",,ASSETS/Maps/TFT/Icons/Augments/Hexcore/Exiles3.png,,[],Exiles III,FALSE,assets/maps/tft/icons/augments/hexcore/exiles3.png
26,TFT6_Augment_TargetDummies,[],[],Gain @NumDummies@ Target Dummies.,{'{aec10c49}': 2.0},,ASSETS/Maps/TFT/Icons/Augments/Hexcore/PhonyFrontline2.png,,[],Phony Frontline,FALSE,assets/maps/tft/icons/augments/hexcore/phonyfrontline2.png
27,TFT6_Augment_Distancing2,[],[],Your units that start combat with no adjacent allies gain a @MaxHealthShield@% maximum Health shield for @ShieldDuration@ seconds.,"{'ShieldDuration': 10.0, '{4e39b1d2}': 35.0}",,ASSETS/Maps/TFT/Icons/Augments/Hexcore/Exiles2.png,,[],Exiles II,FALSE,assets/maps/tft/icons/augments/hexcore/exiles2.png
28,TFT6_Augment_EnforcerTrait2,['Set6_Enforcer'],[],Your team counts as having 2 additional Enforcers. Gain @Gold@ gold.,{'Gold': 8.0},,ASSETS/Maps/TFT/Icons/Augments/Hexcore/EnforcerSoul3.png,,[],Enforcer Soul,FALSE,assets/maps/tft/icons/augments/hexcore/enforcersoul3.png
29,TFT6_Augment_TrueTwos,[],[],Gain a random 2-star Tier 1 champion and a random 2-star Tier 2 champion.,{},,ASSETS/Maps/TFT/Icons/Augments/Hexcore/True-Twos-II.png,,[],True Twos,FALSE,assets/maps/tft/icons/augments/hexcore/true-twos-ii.png
30,TFT6_Augment_ThrillOfTheHunt3,[],[],Your units heal @MissingHPHeal@ Health on kill.,{'{043ce1d5}': 900.0},,ASSETS/Maps/TFT/Icons/Augments/Hexcore/ThrillHunt3.png,,[],Thrill of the Hunt III,FALSE,assets/maps/tft/icons/augments/hexcore/thrillhunt3.png
31,TFT6_Augment_AssassinTrait,['Set6_Assassin'],[],Your team counts as having 1 additional Assassin. Gain a Talon.,{},,ASSETS/Maps/TFT/Icons/Augments/Hexcore/AssassinHeart1.png,,[],Assassin Heart,FALSE,assets/maps/tft/icons/augments/hexcore/assassinheart1.png
32,TFT6_Augment_AssassinSmokeBomb,['Set6_Assassin'],[],"The first time an Assassin drops to @HealthThreshold@% health, they briefly enter stealth, becoming untargetable and shedding all negative effects. Any excess damage is reduced by @DamageReduction@%. Gain a Talon.","{'DamageReduction': 60.0, 'HealthThreshold': 70.0, '{b1442c34}': 1.5}",,ASSETS/Maps/TFT/Icons/Augments/Hexcore/Smokebomb2.png,,[],Smoke Bomb,FALSE,assets/maps/tft/icons/augments/hexcore/smokebomb2.png
33,TFT6_Augment_ThrillOfTheHunt2,[],[],Your units heal @MissingHPHeal@ Health on kill.,{'{043ce1d5}': 550.0},,ASSETS/Maps/TFT/Icons/Augments/Hexcore/ThrillHunt2.png,,[],Thrill of the Hunt II,FALSE,assets/maps/tft/icons/augments/hexcore/thrillhunt2.png
34,TFT6_Augment_ThrillOfTheHunt1,[],[],Your units heal @MissingHPHeal@ Health on kill.,{'{043ce1d5}': 350.0},,ASSETS/Maps/TFT/Icons/Augments/Hexcore/ThrillHunt1.png,,[],Thrill of the Hunt I,FALSE,assets/maps/tft/icons/augments/hexcore/thrillhunt1.png
35,TFT6_Augment_SocialiteTrait2,['Set6_Socialite'],[],Your team counts as having 2 additional Socialites.,{'Gold': 8.0},,ASSETS/Maps/TFT/Icons/Augments/Hexcore/SocialiteSoul3.png,,[],Socialite Soul,FALSE,assets/maps/tft/icons/augments/hexcore/socialitesoul3.png
36,TFT6_Augment_DebonairEmblem2,['Set6_Debonair'],[],Gain 2 Debonair Emblems.,{},,ASSETS/Maps/TFT/Icons/Augments/Hexcore/Debonair-Crown.png,,[],Debonair Crown,FALSE,assets/maps/tft/icons/augments/hexcore/debonair-crown.png
37,TFT6_Augment_ExperimentalChallenger,['Set6_Mutant'],[],TFT6_Augment_ExperimentalChallenger_Desc,{},,ASSETS/Maps/Particles/TFT/Item_Icons/Augments/Mutant.png,,[],TFT6_Augment_ExperimentalChallenger_Name,FALSE,assets/maps/particles/tft/item_icons/augments/mutant.png
38,TFT6_Augment_ColossusArmorPlating,['Set6_Colossus'],[],Colossus become invulnerable for @InvulnDuration@ seconds when their Health drops to @HealthThreshold1@%. Gain a Cho'Gath.,"{'{69247755}': 3.0, '{cbe45061}': 50.0}",,ASSETS/Maps/TFT/Icons/Augments/Hexcore/ArmorPlating2.png,,[],Armor Plating,FALSE,assets/maps/tft/icons/augments/hexcore/armorplating2.png
39,TFT6_Augment_TwinshotTrait2,['Set6_Twinshot'],[],Your team counts as having 2 additional Twinshots. Gain @Gold@ gold.,{'Gold': 4.0},,ASSETS/Maps/TFT/Icons/Augments/Hexcore/TwinshotSoul3.png,,[],Twinshot Soul,FALSE,assets/maps/tft/icons/augments/hexcore/twinshotsoul3.png
40,TFT6_Augment_HextechTrait,['Set6_Hextech'],[],Your team counts as having 1 additional Hextech. Gain a Swain.,{},,ASSETS/Maps/TFT/Icons/Augments/Hexcore/Hextech-Heart-II.png,,[],Hextech Heart,FALSE,assets/maps/tft/icons/augments/hexcore/hextech-heart-ii.png
41,TFT6_Augment_Ascension,[],[],"After @Delay@ seconds of combat, your units deal @DamageAmp@% more damage.","{'DamageAmp': 50.0, '{4ed1f1d8}': 15.0}",,ASSETS/Maps/TFT/Icons/Augments/Hexcore/Ascension2.png,,[],Ascension,FALSE,assets/maps/tft/icons/augments/hexcore/ascension2.png
42,TFT6_Augment_ChallengerForAllUnits,['Set6_Challenger'],[],The Challenger trait grants its bonuses to all of your Champions. This does not increase your number of Challengers. Gain a Quinn.,{},,ASSETS/Maps/TFT/Icons/Augments/Hexcore/Study-the-Blade-I.png,,[],Challenger Unity,FALSE,assets/maps/tft/icons/augments/hexcore/study-the-blade-i.png
43,TFT6_Augment_AcademyCramSession,['Set6_Academy'],[],"After casting their first Ability, Academics restore @ManaRestorePercent@% of their maximum Mana.",{'ManaRestorePercent': 90.0},,ASSETS/Maps/TFT/Icons/Augments/Hexcore/AcademyCramSession2.png,,[],Cram Session,FALSE,assets/maps/tft/icons/augments/hexcore/academycramsession2.png
44,TFT6_Augment_WindfallPlus,[],[],Gain @AugmentGold@ gold.,{'{45e02ace}': 35.0},,ASSETS/Maps/TFT/Icons/Augments/Hexcore/Windfall3.png,,[],Windfall+,FALSE,assets/maps/tft/icons/augments/hexcore/windfall3.png
45,TFT6_Augment_RangedRangeIncrease,[],[],"Double the hex range of your <b>ranged</b> units, and their attacks cannot miss.",{'{16394c87}': 100.0},,ASSETS/Maps/TFT/Icons/Augments/Hexcore/ScopedWeapons1.png,,[],Scoped Weapons,FALSE,assets/maps/tft/icons/augments/hexcore/scopedweapons1.png
46,TFT6_Augment_SlowAndSteady,[],[],"Gain @Exp@ experience points now, and bonus experience points equal to your level at the start of every player combat round. You can no longer use gold to level up.",{'EXP': 4.0},,ASSETS/Maps/TFT/Icons/Augments/Hexcore/SlowAndSteady3.png,,[],March of Progress,FALSE,assets/maps/tft/icons/augments/hexcore/slowandsteady3.png
47,TFT6_Augment_VerdantVeil,[],[],Your units are immune to crowd control effects for the first @Duration@ seconds of combat and gain @BonusAS*100@% bonus Attack Speed.,"{'BonusAS': 0.15000000596046448, 'Duration': 20.0}",,ASSETS/Maps/TFT/Icons/Augments/Hexcore/Verdant-Veil-III.png,,[],Verdant Veil,FALSE,assets/maps/tft/icons/augments/hexcore/verdant-veil-iii.png
48,TFT6_Augment_InnovatorTrait,['Set6_Innovator'],[],Your team counts as having 1 additional Innovator.,{},,ASSETS/Maps/TFT/Icons/Augments/Hexcore/InnovatorHeart2.png,,[],Innovator Heart,FALSE,assets/maps/tft/icons/augments/hexcore/innovatorheart2.png
49,TFT6_Augment_SniperEmblem2,['Set6_Sniper'],[],Gain 2 Sniper Emblems.,{},,ASSETS/Maps/TFT/Icons/Augments/Hexcore/SniperEmblem3.png,,[],Sniper Crown,FALSE,assets/maps/tft/icons/augments/hexcore/sniperemblem3.png
50,TFT6_Augment_PandorasItems,[],[],"Gain a random component. At the start of each round, items on your bench are randomized (excluding Tactician's Crown, Spatula, and consumables).",{},,ASSETS/Maps/TFT/Icons/Augments/Hexcore/Pandora1.png,,[],Pandora's Items,FALSE,assets/maps/tft/icons/augments/hexcore/pandora1.png
51,TFT6_Augment_ItemGrabBag1,[],[],Gain @NumItems@ random completed item.,{'{6c216145}': 1.0},,ASSETS/Maps/TFT/Icons/Augments/Hexcore/ItemGrabBag1.png,,[],Item Grab Bag I,FALSE,assets/maps/tft/icons/augments/hexcore/itemgrabbag1.png
52,TFT6_Augment_StrikerOverpower,['Set6_Striker'],[],"After every @NumAttacks@ attacks, Strikers gain @CritChance@% Critical Strike Chance for their next attack. Gain a Rek'sai.","{'CritChance': 75.0, 'NumAttacks': 2.0}",,ASSETS/Maps/TFT/Icons/Augments/Hexcore/Overpowered-I.png,,[],Overpower,FALSE,assets/maps/tft/icons/augments/hexcore/overpowered-i.png
53,TFT6_Augment_ItemGrabBag2,[],[],Gain @NumItems@ random completed items and @NumReforgers@ Reforgers.,"{'{24acadb2}': 2.0, '{6c216145}': 2.0}",,ASSETS/Maps/TFT/Icons/Augments/Hexcore/ItemGrabBag3.png,,[],Item Grab Bag II,FALSE,assets/maps/tft/icons/augments/hexcore/itemgrabbag3.png
54,TFT6_Augment_RadiantGrabBag,[],[],Gain @NumItems@ random Radiant item(s).,{'{6c216145}': 1.0},,ASSETS/Maps/TFT/Icons/Augments/Hexcore/Radiant-Grab-Bag-II.png,,[],Radiant Grab Bag,FALSE,assets/maps/tft/icons/augments/hexcore/radiant-grab-bag-ii.png
55,TFT6_Augment_EnforcerTrait,['Set6_Enforcer'],[],Your team counts as having 1 additional Enforcer. Gain a Sejuani.,{},,ASSETS/Maps/TFT/Icons/Augments/Hexcore/EnforcerHeart1.png,,[],Enforcer Heart,FALSE,assets/maps/tft/icons/augments/hexcore/enforcerheart1.png
56,TFT6_Augment_ScholarCriticalThinking,['Set6_Scholar'],[],TFT6_Augment_CriticalThinking_Description,{},,ASSETS/Maps/Particles/TFT/Item_Icons/Augments/TFT6_Augment_ScholarCriticalThinking.png,,[],TFT6_Augment_CriticalThinking_Name,FALSE,assets/maps/particles/tft/item_icons/augments/tft6_augment_scholarcriticalthinking.png
57,TFT6_Augment_ForceOfNature,[],[],Gain +@MaxArmySizeIncrease@ maximum team size.,{'{ec9a04d1}': 1.0},,ASSETS/Maps/TFT/Icons/Augments/Hexcore/NewRecruit3.png,,[],New Recruit,FALSE,assets/maps/tft/icons/augments/hexcore/newrecruit3.png
58,TFT6_Augment_AcademyTrait,['Set6_Academy'],[],Your team counts as having 1 additional Academic. Gain a Katarina.,{},,ASSETS/Maps/TFT/Icons/Augments/Hexcore/AcademyHeart1.png,,[],Academy Heart,FALSE,assets/maps/tft/icons/augments/hexcore/academyheart1.png
59,TFT6_Augment_ExperimentalEmblem2,['Set6_Mutant'],[],Gain 2 Mutant Emblems.,{},,ASSETS/Maps/TFT/Icons/Augments/Hexcore/MutantEmblem3.png,,[],Mutant Crown,FALSE,assets/maps/tft/icons/augments/hexcore/mutantemblem3.png
60,TFT6_Augment_ImperialTrait,['Set6_Imperial'],[],Your team counts as having 1 additional Imperial. Gain a Swain.,{},,ASSETS/Maps/TFT/Icons/Augments/Hexcore/ImperialHeart1.png,,[],Imperial Heart,FALSE,assets/maps/tft/icons/augments/hexcore/imperialheart1.png
61,TFT6_Augment_ExperimentalTrait2,['Set6_Mutant'],[],Your team counts as having 2 additional Mutants.,{},,ASSETS/Maps/TFT/Icons/Augments/Hexcore/MutantSoul3.png,,[],Mutant Soul,FALSE,assets/maps/tft/icons/augments/hexcore/mutantsoul3.png
62,TFT6_Augment_YordleSoSmall,['Set6_Yordle'],[],Yordles gain @DodgeIncrease@% Dodge Chance. Gain a Corki.,{'{cb270598}': 25.0},,ASSETS/Maps/TFT/Icons/Augments/Hexcore/SoSmall2.png,,[],So Small,FALSE,assets/maps/tft/icons/augments/hexcore/sosmall2.png
63,TFT6_Augment_MaxLevel10,[],[],"When you buy experience points, gain an additional @XP@. You can now reach level 10.",{'{516374d5}': 3.0},,ASSETS/Maps/TFT/Icons/Augments/Hexcore/LevelUp3.png,,[],Level Up!,FALSE,assets/maps/tft/icons/augments/hexcore/levelup3.png
64,TFT6_Augment_ClockworkEmblem,['Set6_Clockwork'],[],Gain a Clockwork Emblem and a Zilean.,{},,ASSETS/Maps/TFT/Icons/Augments/Hexcore/ClockworkEmblem2.png,,[],Clockwork Crest,FALSE,assets/maps/tft/icons/augments/hexcore/clockworkemblem2.png
65,TFT6_Augment_ArcanistTrait2,['Set6_Arcanist'],[],Your team counts as having 2 additional Arcanists.,{},,ASSETS/Maps/TFT/Icons/Augments/Hexcore/ArcanistSoul3.png,,[],Arcanist Soul,FALSE,assets/maps/tft/icons/augments/hexcore/arcanistsoul3.png
66,TFT6_Augment_GachaAddict,[],[],"Each time your Shop is refreshed, you have a @RerollPercent@% chance to gain a free refresh.",{'{c43e4438}': 50.0},,ASSETS/Maps/TFT/Icons/Augments/Hexcore/GoldenTicket3.png,,[],Golden Ticket,FALSE,assets/maps/tft/icons/augments/hexcore/goldenticket3.png
67,TFT6_Augment_HextechHexnova,['Set6_Hextech'],[],"The first time a Hextech champion drops below @HealthThreshold@% Health, they increase nearby enemies' maximum Mana by @PercentManaReave@% until they cast. Gain a Nocturne.","{'HealthThreshold': 60.0, '{57de426e}': 50.0, '{5cc52ba8}': 2.0}",,ASSETS/Maps/TFT/Icons/Augments/Hexcore/Hexnova-I.png,,[],Hexnova,FALSE,assets/maps/tft/icons/augments/hexcore/hexnova-i.png
68,TFT6_Augment_TreasureTrove1,[],[],Gain @NumBlueOrbs@ blue and @NumGrayOrbs@ gray loot orb(s).,"{'{25083082}': 1.0, '{d1da1e25}': 1.0}",,ASSETS/Maps/TFT/Icons/Augments/Hexcore/Treasure-Trove-I.png,,[],Treasure Trove I,FALSE,assets/maps/tft/icons/augments/hexcore/treasure-trove-i.png
69,TFT6_Augment_ScrapTrait2,['Set6_Scrap'],[],Your team counts as having 2 additional Scraps. Gain @Gold@ gold.,{'Gold': 8.0},,ASSETS/Maps/TFT/Icons/Augments/Hexcore/ScrapSoul3.png,,[],Scrap Soul,FALSE,assets/maps/tft/icons/augments/hexcore/scrapsoul3.png
70,TFT6_Augment_ColossusPummel,['Set6_Colossus'],[],TFT6_Augment_ColossusPummel_Description,{'CritChance': 75.0},,ASSETS/Maps/Particles/TFT/Item_Icons/Augments/Pummel.png,,[],TFT6_Augment_ColossusPummel_Name,FALSE,assets/maps/particles/tft/item_icons/augments/pummel.png
71,TFT6_Augment_ScholarTrait2,['Set6_Scholar'],[],Your team counts as having 2 additional Scholars. Gain @Gold@ gold.,{'Gold': 8.0},,ASSETS/Maps/TFT/Icons/Augments/Hexcore/ScholarSoul3.png,,[],Scholar Soul,FALSE,assets/maps/tft/icons/augments/hexcore/scholarsoul3.png
72,TFT6_Augment_MakeshiftArmor2,[],[],Your units without items equipped gain @Resists@ Armor and Magic Resist.,{'Resists': 45.0},,ASSETS/Maps/TFT/Icons/Augments/Hexcore/Makeshift2.png,,[],Makeshift Armor II,FALSE,assets/maps/tft/icons/augments/hexcore/makeshift2.png
73,TFT6_Augment_TreasureTrove2,[],[],Gain @NumBlueOrbs@ blue and @NumGrayOrbs@ gray loot orb(s).,"{'{25083082}': 2.0, '{d1da1e25}': 1.0}",,ASSETS/Maps/TFT/Icons/Augments/Hexcore/Treasure-Trove-II.png,,[],Treasure Trove II,FALSE,assets/maps/tft/icons/augments/hexcore/treasure-trove-ii.png
74,TFT6_Augment_MakeshiftArmor3,[],[],Your units without items equipped gain @Resists@ Armor and Magic Resist.,{'Resists': 65.0},,ASSETS/Maps/TFT/Icons/Augments/Hexcore/Makeshift3.png,,[],Makeshift Armor III,FALSE,assets/maps/tft/icons/augments/hexcore/makeshift3.png
75,TFT6_Augment_TreasureTrove3,[],[],Gain @NumBlueOrbs@ blue and @NumGrayOrbs@ gray loot orb(s).,"{'{25083082}': 2.0, '{d1da1e25}': 3.0}",,ASSETS/Maps/TFT/Icons/Augments/Hexcore/Treasure-Trove-III.png,,[],Treasure Trove III,FALSE,assets/maps/tft/icons/augments/hexcore/treasure-trove-iii.png
76,TFT6_Augment_AcademyEmblem2,['Set6_Academy'],[],Gain 2 Academy Emblems.,{},,ASSETS/Maps/TFT/Icons/Augments/Hexcore/AcademyEmblem3.png,,[],Academy Crown,FALSE,assets/maps/tft/icons/augments/hexcore/academyemblem3.png
77,TFT6_Augment_SniperSharpshooter,['Set6_Twinshot'],[],"Twinshot's ranged attacks and Abilities can bounce once, dealing @BounceReduction@% less damage. Gain a Corki.",{'{4d2cb08a}': 66.0},,ASSETS/Maps/TFT/Icons/Augments/Hexcore/Sharpshooter3.png,,[],Sharpshooter,FALSE,assets/maps/tft/icons/augments/hexcore/sharpshooter3.png
78,TFT6_Augment_Windfall,[],[],Gain @AugmentGold@ gold.,{'{45e02ace}': 25.0},,ASSETS/Maps/TFT/Icons/Augments/Hexcore/Windfall3.png,,[],Windfall,FALSE,assets/maps/tft/icons/augments/hexcore/windfall3.png
79,TFT6_Augment_MakeshiftArmor1,[],[],Your units without items equipped gain @Resists@ Armor and Magic Resist.,{'Resists': 30.0},,ASSETS/Maps/TFT/Icons/Augments/Hexcore/Makeshift1.png,,[],Makeshift Armor I,FALSE,assets/maps/tft/icons/augments/hexcore/makeshift1.png
80,TFT6_Augment_HextechEmblem2,['Set6_Hextech'],[],Gain 2 Hextech Emblems.,{},,ASSETS/Maps/TFT/Icons/Augments/Hexcore/Hextech-Crown.png,,[],Hextech Crown,FALSE,assets/maps/tft/icons/augments/hexcore/hextech-crown.png
81,TFT6_Augment_ExperimentalTrait,['Set6_Mutant'],[],Your team counts as having 1 additional Mutant. Gain a Rek'Sai.,{},,ASSETS/Maps/TFT/Icons/Augments/Hexcore/MutantHeart1.png,,[],Mutant Heart,FALSE,assets/maps/tft/icons/augments/hexcore/mutantheart1.png
82,TFT6_Augment_Battlemage3,[],[],Your units that start combat in the front 2 rows gain @Armor@ Armor and @AP@ Ability Power.,"{'AP': 35.0, 'Armor': 35.0}",,ASSETS/Maps/TFT/Icons/Augments/Hexcore/Battlemage-III-A.png,,[],Battlemage III,FALSE,assets/maps/tft/icons/augments/hexcore/battlemage-iii-a.png
83,TFT6_Augment_ChallengerEmblem,['Set6_Challenger'],[],Gain a Challenger Emblem and a Quinn.,{},,ASSETS/Maps/TFT/Icons/Augments/Hexcore/ChallengerEmblem2.png,,[],Challenger Crest,FALSE,assets/maps/tft/icons/augments/hexcore/challengeremblem2.png
84,TFT6_Augment_Battlemage2,[],[],Your units that start combat in the front 2 rows gain @Armor@ Armor and @AP@ Ability Power.,"{'AP': 25.0, 'Armor': 25.0}",,ASSETS/Maps/TFT/Icons/Augments/Hexcore/Battlemage-II-A.png,,[],Battlemage II,FALSE,assets/maps/tft/icons/augments/hexcore/battlemage-ii-a.png
85,TFT6_Augment_Battlemage1,[],[],Your units that start combat in the front 2 rows gain @Armor@ Armor and @AP@ Ability Power.,"{'AP': 15.0, 'Armor': 15.0}",,ASSETS/Maps/TFT/Icons/Augments/Hexcore/Battlemage-I-A.png,,[],Battlemage I,FALSE,assets/maps/tft/icons/augments/hexcore/battlemage-i-a.png
