champ,cluster1,champ,cluster2,champ,cluster3,champ,cluster4,champ,cluster5,champ,cluster6,champ,cluster7,champ,cluster8,champ,cluster9,champ,cluster10,champ,cluster11,champ,cluster12,champ,cluster13,champ,cluster14,champ,cluster15,champ,cluster16,champ,cluster17
Gnar,52,Twisted Fate,96,Pantheon,234,Gnar,78,Sona,56,Sona,577,Aatrox,267,Samira,116,Jax,64,Draven,234,Samira,211,Kayle,226,Renekton,51,Nunu & Willump,107,Riven,93,Syndra,231,Bel'Veth,86
Morgana,48,Aatrox,96,Annie,201,Shen,74,Jax,50,Kai'Sa,488,Lucian,228,Syndra,100,Lee Sin,58,Malphite,178,Ultimate Ezreal,196,Pantheon,217,Miss Fortune,47,Fiora,86,Miss Fortune,81,Viego,215,Nunu & Willump,85
Lee Sin,42,Kai'Sa,90,Aurelion Sol,194,Jhin,63,Wukong,50,Warwick,441,Draven,226,Miss Fortune,87,Mordekaiser,56,Twisted Fate,168,Vayne,179,Twisted Fate,212,LeBlanc,43,Nilah,71,Vi,67,Lee Sin,172,Morgana,83
Wukong,39,Lee Sin,73,Syndra,143,Ezreal,62,Twisted Fate,49,Pyke,367,Wukong,218,Draven,71,Warwick,46,Bel'Veth,156,Gnar,152,Lucian,212,Samira,41,Jhin,65,Malphite,67,Sona,166,Rell,81
Rammus,32,Sivir,69,Fiora,143,Lucian,57,Ultimate Ezreal,34,Riven,353,Ashe,211,Ezreal,60,Gangplank,39,Miss Fortune,132,Ezreal,151,Lulu,208,Riven,40,Gangplank,62,Jax,55,Pantheon,131,Sona,78
Lulu,32,Ultimate Ezreal,69,Nunu & Willump,137,Miss Fortune,53,Miss Fortune,33,LeBlanc,280,Neeko,152,Nunu & Willump,59,Ultimate Ezreal,38,Ezreal,80,Yasuo,142,Viego,191,Rammus,39,Zac,52,Mordekaiser,46,Rammus,124,Vi,75
Vayne,31,Nunu & Willump,64,Malphite,120,Camille,50,Warwick,31,Blitzcrank,252,Syndra,149,Jhin,54,Wukong,38,Riven,79,Lucian,137,Blitzcrank,187,Sona,35,Annie,48,Gangplank,46,Jhin,99,Warwick,63
Jax,29,Viego,57,Sona,119,Riven,45,Riven,27,Sivir,244,Morgana,147,Viego,31,Samira,32,Ultimate Ezreal,77,Camille,135,Janna,176,Kai'Sa,29,Vayne,43,Vex,45,Annie,98,Camille,62
Ultimate Ezreal,27,Syndra,56,Draven,101,Pyke,37,Lucian,25,Vex,208,Ultimate Ezreal,135,Kai'Sa,31,Bel'Veth,32,Lee Sin,75,Kai'Sa,130,Annie,174,Blitzcrank,27,Malphite,41,Kai'Sa,43,Camille,95,Jhin,61
Poppy,27,Ezreal,52,LeBlanc,95,Nilah,36,Sylas,23,Lee Sin,176,Nunu & Willump,127,Vex,24,Annie,31,Nasus,70,Lulu,114,Riven,173,Ashe,26,Rammus,39,Ultimate Ezreal,33,Fiora,89,Neeko,54
Blitzcrank,25,Malphite,47,Nasus,89,Lux,32,Blitzcrank,23,Nilah,162,Fiora,76,Rammus,23,Jhin,28,Rammus,66,Wukong,109,Morgana,172,Pyke,25,Viego,30,Bel'Veth,33,Lucian,62,Sylas,53
Warwick,15,Renekton,36,Gangplank,84,Ultimate Ezreal,31,Draven,17,Camille,154,Samira,71,Rell,20,Rammus,28,Sona,61,Jax,99,Mordekaiser,152,Ezreal,23,Lucian,27,Jhin,33,LeBlanc,62,Gangplank,52
Vex,14,Annie,29,Mordekaiser,83,Garen,29,Pantheon,15,Lucian,144,Miss Fortune,49,Gangplank,20,Blitzcrank,22,Pantheon,43,Pantheon,96,Vayne,143,Jhin,23,Ezreal,27,Nilah,31,Pyke,61,Rammus,52
Samira,11,Yasuo,26,Samira,73,Rammus,28,Samira,14,Jinx,144,Lux,45,Zac,19,Draven,22,Kai'Sa,43,Jinx,92,LeBlanc,142,Jinx,16,Miss Fortune,26,Blitzcrank,30,Rell,60,Blitzcrank,47
Malphite,10,Jinx,20,Twisted Fate,71,Rell,25,Neeko,13,Yasuo,129,Ezreal,41,Kayle,19,Camille,21,Samira,42,Bel'Veth,90,Samira,120,Wukong,14,Wukong,24,Ezreal,29,Kayle,59,Malphite,44
Pantheon,9,Fiora,17,Gnar,56,Kai'Sa,23,Lulu,12,Zac,126,Rammus,40,Lucian,16,Vex,20,Jinx,25,Riven,86,Aatrox,117,Rell,12,Vex,24,Warwick,29,Gangplank,36,LeBlanc,42
Nasus,6,Sona,16,Renekton,50,Sylas,23,Gnar,12,Renekton,123,Pantheon,35,Jinx,15,LeBlanc,17,Renekton,21,Poppy,85,Nilah,117,Lucian,11,Sona,17,Nasus,23,Malphite,33,Pyke,42
Bel'Veth,5,Vayne,15,Vayne,37,Bel'Veth,20,Nilah,9,Gnar,96,Nilah,33,Vayne,14,Yasuo,15,Nilah,18,Kayle,84,Aurelion Sol,102,Jax,11,Pantheon,16,Draven,20,Vex,32,Yasuo,33
Gangplank,5,Ashe,14,Sivir,35,Wukong,18,Jinx,9,Nasus,90,Rell,33,Nilah,13,Poppy,15,Sivir,17,Nasus,80,Sivir,76,Draven,11,Kayle,16,Vayne,20,Nilah,28,Renekton,31
Pyke,5,Neeko,14,Pyke,33,Zac,18,Kai'Sa,8,Vayne,87,Malphite,31,Neeko,13,Pyke,11,Gangplank,16,Rell,79,Jinx,73,Nasus,10,Neeko,15,Zac,19,Zac,25,Poppy,28
Yasuo,5,Lucian,13,Bel'Veth,28,Jax,14,Ezreal,6,Rell,76,Lulu,28,Malphite,13,Neeko,10,Gnar,15,Vex,78,Sylas,62,Sivir,9,Rell,12,Camille,18,Gnar,23,Lulu,17
Draven,5,Nilah,13,Poppy,20,Renekton,13,Sivir,5,Ashe,73,Sivir,27,Annie,11,Sona,6,Rell,14,Renekton,72,Syndra,51,Camille,9,Draven,11,Rammus,14,Kai'Sa,18,Zac,15
Kayle,5,Pantheon,12,Kayle,20,Kayle,10,Ashe,4,Pantheon,66,Poppy,23,Fiora,7,Zac,6,Neeko,10,Draven,71,Poppy,36,Lux,9,Nasus,11,Sivir,11,Poppy,18,Draven,15
Camille,4,Gangplank,10,Neeko,17,Samira,8,Rell,4,Kayle,64,Kai'Sa,17,Sylas,6,Kayle,5,Yasuo,8,Gangplank,70,Rammus,35,Pantheon,6,Poppy,7,Samira,11,Neeko,15,Vayne,13
Jhin,4,Nasus,10,Zac,16,Yasuo,7,Renekton,4,Sylas,57,Gangplank,17,Nasus,4,Sivir,3,Ashe,6,Malphite,64,Camille,27,Vex,6,Jinx,7,Lucian,9,Jinx,14,Vex,13
Sylas,2,Kayle,8,Vex,13,Sivir,6,Vayne,4,Gangplank,55,Vayne,16,Gnar,3,Renekton,3,Lulu,6,Rammus,59,Gnar,26,Gnar,6,Lux,5,Yasuo,9,Nasus,10,Nasus,6
Zac,2,Sylas,7,Lulu,7,Jinx,6,Kayle,4,Malphite,55,Gnar,15,Pantheon,2,Ashe,2,Vayne,6,Sylas,49,Rell,22,Sylas,5,Sylas,4,Ashe,6,Sylas,7,Kayle,6
Sivir,1,Lulu,6,Lux,6,Draven,5,Lux,3,Poppy,48,Nasus,14,Poppy,2,Lulu,2,Poppy,4,Sivir,42,Bel'Veth,14,Poppy,5,Kai'Sa,3,Renekton,4,Vayne,7,Gnar,3
Renekton,1,Lux,6,Ashe,0,Vayne,5,Yasuo,2,Lulu,39,Kayle,10,Lux,2,Lux,2,Kayle,3,Ashe,42,Lux,14,Lulu,4,Gnar,2,Sylas,3,Lulu,4,Jinx,2
Ashe,0,Gnar,5,Yasuo,0,Ashe,4,Poppy,2,Lux,26,Jinx,8,Lulu,1,Pantheon,0,Lux,0,Zac,17,Neeko,12,Zac,2,Lulu,0,Kayle,0,Lux,0,Lux,1
,Star Guardian Neeko,,Hacker Draven,,Quickdraw Lucian,,Supers Heart ,,RiftWalker Mascot,,Aegis Threat,,Hacker Warwick,,Brawler Warwick,,Anima Squad,,Renegade Jhin,,Ox Force Twisted Fate,,Supers Underground,,Duelist,,LaserCorps Warwick,,Gadgeteen Gnar,,Mecha:PRIME Samira,,InfiniTeam
