ability,apiName,cost,icon,name,stats,traits
"{'desc': ""Rell forms a tether between herself and her lowest percent Health ally, dealing @ModifiedDamage@ magic damage to all enemies between herself and her bound ally. She also grants herself and her bound ally @Resists@% of Rell's current Armor and Magic Resist for @Duration@ seconds."", 'icon': 'ASSETS/Characters/Rell/HUD/Icons2D/RellE.dds', 'name': 'Iron Bond', 'variables': [{'name': 'Resists', 'value': [40.0, 50.0, 60.0, 70.0, 80.0, 90.0, 100.0]}, {'name': 'Damage', 'value': [75.0, 140.0, 210.0, 325.0, 375.0, 450.0, 525.0]}, {'name': 'Duration', 'value': [4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0]}]}",TFT8_Rell,2,ASSETS/UX/TFT/ChampionSplashes/TFT8_Rell.TFT_Set8.dds,Rell,"{'armor': 50.0, 'attackSpeed': 0.5, 'critChance': 0.25, 'critMultiplier': 1.399999976158142, 'damage': 60.0, 'hp': 800.0, 'initialMana': 80.0, 'magicResist': 50.0, 'mana': 150.0, 'range': 1.0}","['Star Guardian', 'Defender']"
"{'desc': 'Ekko dives in, granting himself a @ModifiedShieldAmount@ shield for @Duration@ seconds and taunts nearby enemies. When the shield breaks, he emits a time field, dealing @ModifiedDamage@ to nearby enemies and slowing their attack speed by @ASReduction*100@% for @SlowDuration@ seconds.', 'icon': 'ASSETS/Characters/Ekko/HUD/Icons2D/Ekko_E.dds', 'name': 'Star Diver', 'variables': [{'name': 'ShieldAmount', 'value': [0.0, 550.0, 700.0, 3000.0, 0.0, 0.0, 0.0]}, {'name': 'ASReduction', 'value': [0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]}, {'name': 'Duration', 'value': [5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0]}, {'name': 'SlowDuration', 'value': [2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]}, {'name': 'Damage', 'value': [0.0, 100.0, 150.0, 1500.0, 0.0, 0.0, 0.0]}]}",TFT8_Ekko,4,ASSETS/UX/TFT/ChampionSplashes/TFT8_Ekko.TFT_Set8.dds,Ekko,"{'armor': 60.0, 'attackSpeed': 0.6000000238418579, 'critChance': 0.25, 'critMultiplier': 1.399999976158142, 'damage': 60.0, 'hp': 1000.0, 'initialMana': 70.0, 'magicResist': 60.0, 'mana': 140.0, 'range': 1.0}","['Star Guardian', 'Prankster', 'Aegis']"
"{'desc': 'Syndra grants a @ModifiedShieldAmount@ Health shield to a random champion on your bench, then flings them into the arena inside an orb at her closest enemy. The orb deals @ModifiedDamage@ magic damage to enemies hit. <br><br><tftitemrules>Traits of champions flung onto the board do not become active, except for Corrupted.</tftitemrules>', 'icon': 'ASSETS/Characters/Syndra/HUD/Icons2D/SyndraW2.dds', 'name': 'Force of Will', 'variables': [{'name': 'ShieldAmount', 'value': [0.0, 200.0, 600.0, 4000.0, 160.0, 200.0, 240.0]}, {'name': 'StunDuration', 'value': [0.5, 1.0, 1.5, 8.0, 0.5, 0.5, 0.5]}, {'name': 'Damage', 'value': [0.0, 250.0, 375.0, 2500.0, 0.0, 0.0, 0.0]}]}",TFT8_Syndra,5,ASSETS/UX/TFT/ChampionSplashes/TFT8_Syndra.TFT_Set8.dds,Syndra,"{'armor': 40.0, 'attackSpeed': 0.8500000238418579, 'critChance': 0.25, 'critMultiplier': 1.399999976158142, 'damage': 40.0, 'hp': 850.0, 'initialMana': 70.0, 'magicResist': 40.0, 'mana': 125.0, 'range': 4.0}","['Star Guardian', 'Heart']"
"{'desc': 'Combat start: H4kerr!m picks up the unit in the rider hex and then charges directly forward into the enemy backline.', 'icon': 'ASSETS/Characters/Hecarim/HUD/Icons2D/Hecarim_OnslaughtofShadows.dds', 'name': 'Infiltration', 'variables': [{'name': 'DefenseGain', 'value': [10.0, 20.0, 30.0, 60.0, 10.0, 10.0, 10.0]}, {'name': 'Damage', 'value': [0.0, 150.0, 200.0, 300.0, 0.0, 0.0, 0.0]}, {'name': 'Duration', 'value': [4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0]}]}",TFT8_Hecarim,1,ASSETS/UX/TFT/ChampionSplashes/TFT8_Hecarim.TFT_Set8.dds,Hackerim,"{'armor': 40.0, 'attackSpeed': 0.550000011920929, 'critChance': 0.25, 'critMultiplier': 1.399999976158142, 'damage': 55.0, 'hp': 650.0, 'initialMana': 40.0, 'magicResist': 40.0, 'mana': 0.0, 'range': 1.0}",[]
"{'desc': ""Draven hurls 2 axes at his target's direction, which then come back to him. Enemies caught in their path take <scaleAD>@TotalDamage@</scaleAD> physical damage (@ADpercent*100@% Attack Damage %i:scaleAD% + @ModifiedDamage@), reduced by @FallOffPercent*100@% for each enemy they have already hit."", 'icon': 'ASSETS/Characters/Draven/HUD/Icons2D/Draven_WhirlingDeath.dds', 'name': 'Whirling Death', 'variables': [{'name': 'Damage', 'value': [0.0, 60.0, 95.0, 145.0, 0.0, 0.0, 0.0]}, {'name': 'ADPercent', 'value': [1.2999999523162842, 1.2999999523162842, 1.2999999523162842, 1.2999999523162842, 1.2999999523162842, 1.2999999523162842, 1.2999999523162842]}, {'name': 'FallOffPercent', 'value': [0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25]}]}",TFT8_Draven,2,ASSETS/UX/TFT/ChampionSplashes/TFT8_Draven.TFT_Set8.dds,Draven,"{'armor': 15.0, 'attackSpeed': 0.75, 'critChance': 0.25, 'critMultiplier': 1.399999976158142, 'damage': 70.0, 'hp': 600.0, 'initialMana': 70.0, 'magicResist': 15.0, 'mana': 140.0, 'range': 4.0}","['Mecha:PRIME', 'Ace']"
"{'desc': 'Leona locks onto her target and calls down an orbital laser strike. The laser deals @ModifiedMaxHealthPerSec@ true damage per second to the target until the target dies, and @ModifiedDamage@ magic damage to nearby enemies.', 'icon': 'ASSETS/Characters/Leona/HUD/Icons2D/LeonaZenithBlade.dds', 'name': 'Deus Ex Machina', 'variables': [{'name': 'MaxHealthPerSec', 'value': [0.0, 350.0, 525.0, 5000.0, 0.0, 0.0, 0.0]}, {'name': 'Damage', 'value': [0.0, 320.0, 480.0, 2000.0, 0.0, 0.0, 0.0]}]}",TFT8_Leona,5,ASSETS/UX/TFT/ChampionSplashes/TFT8_Leona.TFT_Set8.dds,Leona,"{'armor': 60.0, 'attackSpeed': 0.699999988079071, 'critChance': 0.25, 'critMultiplier': 1.399999976158142, 'damage': 75.0, 'hp': 1100.0, 'initialMana': 0, 'magicResist': 60.0, 'mana': 75.0, 'range': 1.0}","['Mecha:PRIME', 'Renegade', 'Aegis']"
"{'desc': 'Passive: Jax leaps to his target and deals @ModifiedBaseDamage@ bonus magic damage every 3rd attack. The bonus damage increases by @ModifiedStackDamage@ every 3rd attack, and stacks up to @TotalStacks@ times.<br><br>Current Damage on hit: @TFTUnitProperty.:TFT8_Jax_TotalDamage@', 'icon': 'ASSETS/Characters/Jax/HUD/Icons2D/Armsmaster_RelentlessAssault.dds', 'name': 'Adaptive Strike', 'variables': [{'name': 'BaseDamage', 'value': [0.0, 80.0, 125.0, 210.0, 0.0, 0.0, 0.0]}, {'name': 'StackDamage', 'value': [50.0, 20.0, 30.0, 50.0, 50.0, 50.0, 50.0]}, {'name': 'TotalStacks', 'value': [7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0]}]}",TFT8_Jax,3,ASSETS/UX/TFT/ChampionSplashes/TFT8_Jax.TFT_Set8.dds,Jax,"{'armor': 45.0, 'attackSpeed': 0.800000011920929, 'critChance': 0.25, 'critMultiplier': 1.399999976158142, 'damage': 45.0, 'hp': 800.0, 'initialMana': 0, 'magicResist': 45.0, 'mana': 0.0, 'range': 1.0}","['Mecha:PRIME', 'Brawler']"
"{'desc': 'Ashe gains <scaleAD>@TotalDamage@</scaleAD> Attack Damage (@ADPercent*100@% Attack Damage %i:scaleAD% + @ModifiedADGain@) for the next @Duration@ seconds.', 'icon': 'ASSETS/Characters/Ashe/HUD/Icons2D/Ashe_Q.dds', 'name': ""Ranger's Focus"", 'variables': [{'name': 'Duration', 'value': [5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0]}, {'name': 'ADPercent', 'value': [0.6000000238418579, 0.6000000238418579, 0.6000000238418579, 0.6000000238418579, 0.6000000238418579, 0.6000000238418579, 0.6000000238418579]}, {'name': 'ADGain', 'value': [0.0, 15.0, 22.0, 33.0, 0.0, 0.0, 0.0]}]}",TFT8_Ashe,1,ASSETS/UX/TFT/ChampionSplashes/TFT8_Ashe.TFT_Set8.dds,Ashe,"{'armor': 15.0, 'attackSpeed': 0.699999988079071, 'critChance': 0.25, 'critMultiplier': 1.399999976158142, 'damage': 60.0, 'hp': 500.0, 'initialMana': 0, 'magicResist': 15.0, 'mana': 50.0, 'range': 4.0}","['LaserCorps', 'Sureshot']"
"{'desc': 'Mordekaiser transports the arena into his realm for @RealmDuration@ seconds.  He @MRShred*100@% <TFTKeyword>Shreds</TFTKeyword> ALL enemies, then slams a building onto the arena that deals @ModifiedDamage@ magic damage to enemies hit.<br><br><tftitemrules><tftbold>Shred</tftbold>: reduce Magic Resist</tftitemrules>', 'icon': 'ASSETS/Characters/Mordekaiser/HUD/Icons2D/MordekaiserR.dds', 'name': 'Skylines', 'variables': [{'name': 'Damage', 'value': [0.0, 420.0, 630.0, 5555.0, 160.0, 200.0, 240.0]}, {'name': 'RealmDuration', 'value': [3.0, 4.0, 4.0, 6.0, 3.0, 3.0, 3.0]}, {'name': 'MRShred', 'value': [0.5, 0.5, 0.5, 0.699999988079071, 0.5, 0.5, 0.5]}]}",TFT8_Mordekaiser,5,ASSETS/UX/TFT/ChampionSplashes/TFT8_Mordekaiser.TFT_Set8.dds,Mordekaiser,"{'armor': 70.0, 'attackSpeed': 0.699999988079071, 'critChance': 0.25, 'critMultiplier': 1.399999976158142, 'damage': 70.0, 'hp': 1200.0, 'initialMana': 60.0, 'magicResist': 70.0, 'mana': 150.0, 'range': 1.0}","['LaserCorps', 'Ace']"
"{'desc': 'Annie blasts a cone of fire, dealing @ModifiedDamage@ magic damage to enemies in front of her, then creates a @ModifiedShield@ Health shield on herself for @ShieldDuration@ seconds.', 'icon': 'ASSETS/Characters/Annie/HUD/Icons2D/Annie_Q.dds', 'name': 'Burst Shield', 'variables': [{'name': 'Damage', 'value': [0.0, 140.0, 210.0, 325.0, 0.0, 0.0, 0.0]}, {'name': 'ShieldAmount', 'value': [4.0, 300.0, 350.0, 425.0, 4.0, 4.0, 4.0]}, {'name': 'ShieldDuration', 'value': [4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0]}]}",TFT8_Annie,2,ASSETS/UX/TFT/ChampionSplashes/TFT8_Annie.TFT_Set8.dds,Annie,"{'armor': 40.0, 'attackSpeed': 0.6000000238418579, 'critChance': 0.25, 'critMultiplier': 1.399999976158142, 'damage': 40.0, 'hp': 750.0, 'initialMana': 30.0, 'magicResist': 40.0, 'mana': 90.0, 'range': 2.0}","['Gadgeteen', 'Ox Force', 'Spellslinger']"
"{'desc': 'Fiora lunges at her enemy, dealing <scaleAD>@ModifiedDamage@</scaleAD> physical damage (@PercentAttackDamage@% Attack Damage %i:scaleAD%) to all enemies hit. For the next @BuffDuration@ seconds, she takes @DamageReductionPercent@% less damage and her attacks restore @ModifiedHeal@ Health. ', 'icon': 'ASSETS/Characters/Fiora/HUD/Icons2D/Fiora_W.dds', 'name': 'En Garde!', 'variables': [{'name': 'Heal', 'value': [2.0, 30.0, 40.0, 55.0, 6.0, 7.0, 8.0]}, {'name': 'PercentAttackDamage', 'value': [150.0, 250.0, 250.0, 260.0, 150.0, 150.0, 150.0]}, {'name': 'BuffDuration', 'value': [8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0]}, {'name': 'DamageReductionPercent', 'value': [20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0]}]}",TFT8_Fiora,2,ASSETS/UX/TFT/ChampionSplashes/TFT8_Fiora.TFT_Set8.dds,Fiora,"{'armor': 50.0, 'attackSpeed': 0.800000011920929, 'critChance': 0.25, 'critMultiplier': 1.399999976158142, 'damage': 55.0, 'hp': 800.0, 'initialMana': 30.0, 'magicResist': 50.0, 'mana': 80.0, 'range': 1.0}","['Ox Force', 'Duelist']"
"{'desc': 'Alistar slams the ground underneath his target, dealing @ModifiedDamage@ magic damage and knocking them up for @StunDuration@ seconds. He then roars, healing himself and the lowest health ally champion for <scaleHealth>@TotalHealing@</scaleHealth> (@MaxHealthPercent*100@% Maximum Health %i:scaleHealth%)', 'icon': 'ASSETS/Characters/Alistar/HUD/Icons2D/Alistar_Q.dds', 'name': 'Pulverize', 'variables': [{'name': 'MaxHealthPercent', 'value': [0.20000000298023224, 0.20000000298023224, 0.20000000298023224, 0.20000000298023224, 0.20000000298023224, 0.20000000298023224, 0.20000000298023224]}, {'name': 'Damage', 'value': [0.0, 140.0, 210.0, 350.0, 0.0, 0.0, 0.0]}, {'name': 'StunDuration', 'value': [1.5, 1.5, 1.5, 1.5, 1.5, 1.5, 1.5]}, {'name': 'AugmentHealth', 'value': [0.30000001192092896, 0.30000001192092896, 0.30000001192092896, 0.30000001192092896, 0.30000001192092896, 0.30000001192092896, 0.30000001192092896]}]}",TFT8_Alistar,3,ASSETS/UX/TFT/ChampionSplashes/TFT8_Alistar.TFT_Set8.dds,Alistar,"{'armor': 50.0, 'attackSpeed': 0.550000011920929, 'critChance': 0.25, 'critMultiplier': 1.399999976158142, 'damage': 50.0, 'hp': 800.0, 'initialMana': 75.0, 'magicResist': 50.0, 'mana': 175.0, 'range': 1.0}","['Ox Force', 'Mascot', 'Aegis']"
"{'desc': 'Viego becomes unstoppable, leaping to the largest cluster of nearby enemies and slamming his sword down on the enemy with the lowest Health, dealing @ModifiedDamage@ magic damage to the primary target and @ModifiedAOEDamage@ magic damage to enemies nearby. If Viego kills an enemy, he casts again but deals @DamageFalloffPercent*100@% less damage.', 'icon': 'ASSETS/Characters/Viego/HUD/Icons2D/Viego_R.dds', 'name': 'Heartbreaker', 'variables': [{'name': 'Damage', 'value': [0.0, 240.0, 360.0, 800.0, 0.0, 0.0, 0.0]}, {'name': 'DamageFalloffPercent', 'value': [0.30000001192092896, 0.18000000715255737, 0.18000000715255737, 0.009999999776482582, 0.30000001192092896, 0.30000001192092896, 0.30000001192092896]}, {'name': 'AOEDamage', 'value': [0.0, 120.0, 180.0, 400.0, 0.0, 0.0, 0.0]}]}",TFT8_Viego,4,ASSETS/UX/TFT/ChampionSplashes/TFT8_Viego.TFT_Set8.dds,Viego,"{'armor': 50.0, 'attackSpeed': 0.800000011920929, 'critChance': 0.25, 'critMultiplier': 1.399999976158142, 'damage': 60.0, 'hp': 950.0, 'initialMana': 0, 'magicResist': 50.0, 'mana': 45.0, 'range': 1.0}","['Ox Force', 'Renegade', 'Heart']"
